slug,page_type,pillar,page_headline,image_filename,variation_num,image_generated,r2_url,page_created,pinned,pin_date,pin_type,text_overlay,ai_prompt,pin_title,pin_description,pin_url,board,prompt_variation
stamped-concrete-patio-grey,inspiration,patio,Grey Stamped Concrete Patio,inspiration-grey-stamped-patio.jpg,1,completed,https://images.pourcanvas.com/inspiration-grey-stamped-patio.jpg,yes,live,2026-03-28,plain_image,,"photorealistic grey ashlar-stamped concrete patio, residential backyard with modern home, golden hour afternoon light, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Grey Stamped Concrete Patio Ideas - Ashlar Slate Pattern,Grey ashlar-stamped concrete mimics natural stone at $12-18/sq ft installed and holds colour through freeze-thaw cycles. Could this be the right patio finish for your home?,https://pourcanvas.com/inspiration/stamped-concrete-patio-grey,Patio Ideas,
herringbone-brick-patio,inspiration,patio,Herringbone Brick Patio,inspiration-herringbone-patio.jpg,1,completed,https://images.pourcanvas.com/inspiration-herringbone-patio.jpg,yes,live,2026-03-28,plain_image,,"photorealistic herringbone brick-stamped concrete patio with warm buff color wash, residential backyard with craftsman home, soft overcast daylight, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Herringbone Brick Patio - Stamped Concrete That Looks Like Real Brick,Stamped concrete replicates the herringbone brick pattern at $10-16/sq ft - roughly half the cost of real brick pavers and zero weed joints. Would this work for your craftsman or colonial home?,https://pourcanvas.com/inspiration/herringbone-brick-patio,Patio Ideas,
pool-deck-travertine,inspiration,patio,Travertine Pool Deck,inspiration-travertine-pool-deck.jpg,1,completed,https://images.pourcanvas.com/inspiration-travertine-pool-deck.jpg,yes,live,2026-03-28,plain_image,,"photorealistic travertine-stamped concrete pool deck, residential backyard pool surround with Mediterranean stucco home and terracotta roof tiles in background, golden hour afternoon light, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Travertine Pool Deck Ideas - Cool Underfoot in Summer Heat,Travertine-stamped concrete stays measurably cooler than plain concrete in direct sun. At $14-20/sq ft it delivers a high-end look that suits most backyard styles. Save this if you are planning a pool surround.,https://pourcanvas.com/inspiration/pool-deck-travertine,Patio Ideas,
pool-deck-broom-finish,inspiration,patio,Broom Finish Pool Deck,inspiration-pool-deck-broom-finish.jpg,1,completed,https://images.pourcanvas.com/inspiration-pool-deck-broom-finish.jpg,yes,live,2026-03-31,plain_image,,"photorealistic broom-finish concrete pool deck, residential backyard swimming pool surround with modern farmhouse home and board-and-batten siding in background, soft overcast daylight, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Broom Finish Pool Deck - The Non-Slip Option for Wet Surfaces,"Broom-finish concrete pool deck creates fine directional lines across the surround - clean, architectural, and non-slip underfoot. A practical home improvement choice for any pool shape or exterior style. Save this for your backyard upgrade planning.",https://pourcanvas.com/inspiration/pool-deck-broom-finish,Patio Ideas,
patio-wood-plank-concrete,inspiration,patio,Wood Plank Concrete Patio,inspiration-patio-wood-plank-concrete.jpg,1,completed,https://images.pourcanvas.com/inspiration-patio-wood-plank-concrete.jpg,yes,live,2026-04-03,plain_image,,"photorealistic wood-plank stamped concrete patio with warm brown multi-layer color, residential backyard with modern farmhouse home, golden hour afternoon light, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Wood Plank Concrete Patio - Warm Tone Without the Maintenance,"Wood-plank stamped concrete patio brings warm chestnut grain to the outdoor floor - the timber look without rot, splintering, or seasonal maintenance. A popular home improvement option for homeowners who love wood warmth on a durable base. Save this for your backyard project.",https://pourcanvas.com/inspiration/patio-wood-plank-concrete,Patio Ideas,
concrete-pool-deck-grey,inspiration,patio,Grey Concrete Pool Deck,inspiration-concrete-pool-deck-grey.jpg,1,completed,https://images.pourcanvas.com/inspiration-concrete-pool-deck-grey.jpg,yes,live,2026-04-03,plain_image,,"photorealistic grey broom-finish concrete pool deck, residential backyard swimming pool surround with contemporary home and clean lines, soft overcast daylight, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Grey Concrete Pool Deck - Clean Modern Look Around Any Pool,"Grey broom-finish concrete pool deck frames the water with clean, brushed lines - neutral tone that reads well against blue water and any home exterior. A low-maintenance home improvement surface for outdoor living. Would this suit your backyard?",https://pourcanvas.com/inspiration/concrete-pool-deck-grey,Patio Ideas,reused
flagstone-patio-grey,inspiration,patio,Grey Flagstone Patio,inspiration-flagstone-patio-grey.jpg,1,completed,https://images.pourcanvas.com/inspiration-flagstone-patio-grey.jpg,yes,pending,,plain_image,,"photorealistic grey flagstone-look stamped concrete patio with irregular random stone pattern, residential backyard with white contemporary home, soft overcast daylight, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Grey Flagstone Patio - Natural Stone Look Without the Natural Stone Price,"Grey flagstone stamped concrete patio captures the irregular, organic look of real stone - each slab slightly different in shape and tone. A low-maintenance home improvement alternative with no weed joints or shifting. Could this be the right finish for your backyard?",https://pourcanvas.com/inspiration/flagstone-patio-grey,Patio Ideas,
concrete-patio-ideas-modern-grey,inspiration,patio,Modern Grey Concrete Patio,inspiration-concrete-patio-ideas-modern-grey.jpg,1,completed,https://images.pourcanvas.com/inspiration-concrete-patio-ideas-modern-grey.jpg,yes,pending,,plain_image,,"photorealistic smooth grey broom-finish concrete patio, residential backyard with contemporary home and minimal landscaping, soft overcast daylight, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Modern Grey Concrete Patio Ideas for 2026,Modern grey concrete patio with clean broom-finish edges reads as intentional and architectural - the defining outdoor surface for contemporary homes. A straightforward home improvement upgrade that ties indoor and outdoor spaces together visually. Would this be the right backdrop for your furniture?,https://pourcanvas.com/inspiration/concrete-patio-ideas-modern-grey,Patio Ideas,
brushed-concrete-driveway-charcoal,inspiration,driveway,Charcoal Broom Finish Driveway,inspiration-brushed-concrete-driveway-charcoal.jpg,1,completed,https://images.pourcanvas.com/inspiration-brushed-concrete-driveway-charcoal.jpg,yes,live,2026-03-29,plain_image,,"photorealistic charcoal broom-finish concrete driveway with integral dark pigment and directional brushed texture, residential front approach with contemporary white home, golden hour afternoon light, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Charcoal Broom Finish Driveway - Bold Curb Appeal for Modern Homes,"Charcoal integral-pigment concrete makes a bold statement without stamping. At $8-14/sq ft it creates strong contrast against white, black, or cream exteriors. Could this be the curb appeal upgrade your home needs?",https://pourcanvas.com/inspiration/brushed-concrete-driveway-charcoal,Driveway Ideas,
exposed-aggregate-driveway-tan,inspiration,driveway,Tan Exposed Aggregate Driveway,inspiration-exposed-aggregate-driveway-tan.jpg,1,completed,https://images.pourcanvas.com/inspiration-exposed-aggregate-driveway-tan.jpg,yes,live,2026-03-29,plain_image,,"photorealistic warm buff tan exposed aggregate concrete driveway with sand-toned pebble texture, residential front approach with traditional California home, golden hour afternoon light, no people, human-eye level angle, architectural photography, sharp texture detail, 2:3 vertical",Tan Exposed Aggregate Driveway - Warm Texture That Hides Tire Marks,"Warm buff exposed aggregate hides tyre marks and oil stains better than plain concrete. At $9-14/sq ft it suits craftsman, colonial, and ranch homes and ages gracefully without heavy maintenance.",https://pourcanvas.com/inspiration/exposed-aggregate-driveway-tan,Driveway Ideas,
